//
//	Class:	-- none --
//	Set:	attributes
//	Prefix:	DEFMSG_
//

MSG(ANATOMY_DEX_1,						"very clumsy")
MSG(MSG_KEY_TARG_HOLD_ULOCK,			"You unlock the hold.")
MSG(MSG_KEY_TARG_NOLOCK,				"That does not have a lock.")
MSG(MSG_KEY_TARG_REACH,					"You can't reach it.")
MSG(MSG_KEY_TARG_SHIP_LOCK,				"You lock the ship.")
MSG(MSG_KEY_TARG_SHIP_ULOCK,			"You unlock the ship.")
MSG(MSG_KEY_TARG_SIGN,					"What should the sign say?")
MSG(MSG_KEY_WRONGLOCK,					"The key does not fit into that lock.")
MSG(MSG_KILLED_BY,						"%c'%s' was killed by ")
MSG(MSG_MAILBAG_DROP_1,					"Drop mail on other players")
MSG(MSG_MAILBAG_DROP_2,					"'%s' has dropped mail on you.")
MSG(MSG_MAXCHARS,						"You already have %d character(s).")
MSG(MSG_SUMMON_CEILING,					"The ceiling is too low for the summoned creature!")
MSG(MSG_SUMMON_INVALIDTARG,				"The creature cannot be summoned at this location.")
MSG(MSG_MOUNT_CEILING,					"The ceiling is too low for you!")
MSG(MSG_MOUNT_DIST,						"You can't reach the creature.")
MSG(MSG_MOUNT_DONTOWN,					"You dont own that horse.")
MSG(MSG_MOUNT_UNABLE,					"You are not physically capable of riding a horse.")
MSG(MSG_BONDED_DEAD_CANTMOUNT,			"The creature is dead and cannot be mounted.")
MSG(MSG_MURDERER,						"You are now known as a murderer!")
MSG(MSG_NOTO_CHANGE_0,					"You have %s %s %s.")
MSG(MSG_NOTO_CHANGE_1,					"a bit of")
MSG(MSG_NOTO_CHANGE_2,					"a small amount of")
MSG(MSG_NOTO_CHANGE_3,					"a little")
MSG(MSG_NOTO_CHANGE_4,					"some")
MSG(MSG_NOTO_CHANGE_5,					"a moderate amount of")
MSG(MSG_NOTO_CHANGE_6,					"alot of")
MSG(MSG_NOTO_CHANGE_7,					"large amounts of")
MSG(MSG_NOTO_CHANGE_8,					"huge amounts of")
MSG(MSG_NOTO_CHANGE_GAIN,				"gained")
MSG(MSG_NOTO_CHANGE_LOST,				"lost")
MSG(MSG_NOTO_GETTITLE,					"You are now %s")
MSG(MSG_OVERLOAD,						"You are too overloaded to move.")
MSG(MSG_PET_FOOD_1,						"confused")
MSG(MSG_PET_FOOD_2,						"very unhappy")
MSG(MSG_PET_FOOD_3,						"unhappy")
MSG(MSG_PET_FOOD_4,						"fairly content")
MSG(MSG_PET_FOOD_5,						"content")
MSG(MSG_PET_FOOD_6,						"happy")
MSG(MSG_PET_FOOD_7,						"very happy")
MSG(MSG_PET_FOOD_8,						"extremely happy")
MSG(MSG_PET_HAPPY_1,					"confused")
MSG(MSG_PET_HAPPY_2,					"ravenously hungry")
MSG(MSG_PET_HAPPY_3,					"very hungry")
MSG(MSG_PET_HAPPY_4,					"hungry")
MSG(MSG_PET_HAPPY_5,					"a little hungry")
MSG(MSG_PET_HAPPY_6,					"satisfied")
MSG(MSG_PET_HAPPY_7,					"very satisfied")
MSG(MSG_PET_HAPPY_8,					"full")
MSG(MSG_PUSH,							"You shove %s out of the way.")
MSG(MSG_REGION_ENTER,					"You have entered %s")
MSG(MSG_REGION_GUARD_ART,				"the town")
MSG(MSG_REGION_GUARDS_1,				"You are now under the protection of %s guards.")
MSG(MSG_REGION_GUARDS_2,				"You have left the protection of %s guards.")
MSG(MSG_REGION_PVPNOT,					"You lose your safety from other players.")
MSG(MSG_REGION_PVPSAFE,					"You are safe from other players here.")
MSG(MSG_REGION_SAFETYGET,				"You have a feeling of complete safety")
MSG(MSG_REGION_SAFETYLOSE,				"You lose your feeling of safety")
MSG(MSG_REGION_REDDEF,					"You have %s the red region.")
MSG(MSG_REGION_REDENTER,				"entered")
MSG(MSG_REGION_REDLEFT,					"left")
MSG(MSG_REGION_WATER_1,					"You are stranded in the water !")
MSG(MSG_REGION_WATER_2,					"You have drifted to the nearest shore.")
MSG(MSG_RENAME_CANCEL,					"Request cancelled.")
MSG(MSG_RENAME_OBSCENE,					"That name isn't very polite.")
MSG(MSG_SEED_ATREE,						"Already a tree here")
MSG(MSG_SEED_NOGOOD,					"These seeds are no good")
MSG(MSG_SEED_REACH,						"You can't reach this")
MSG(MSG_SEED_TARGSOIL,					"Try planting in soil")
MSG(MSG_SERV_AO,						"Server is in admin only mode.")
MSG(MSG_SERV_FULL,						"Sorry the server is full. Try again later.")
MSG(MSG_SERV_LD,						"Server is in local debug mode.")
MSG(MSG_SERV_SHUTDOWN,					"Server going down in %lld minute(s).")
MSG(MSG_SERV_SHUTDOWN_CANCEL,			"Shutdown has been interrupted.")
MSG(MSG_SERV_SHUTDOWN_SOON,				"WARNING: The system is scheduled to shutdown soon")
MSG(MSG_SHIPNAME_PROMT,					"What dost thou wish to name thy ship?")
MSG(MSG_STEAL,							"That is not yours. You will have to steal the item")
MSG(MSG_TARG_LINK,						"First object must be a dynamic item, try again.")
MSG(MSG_TARG_LINK_SAME,					"That's the same object. Link cancelled.")
MSG(MSG_TARG_LINK2,						"What do you want to link it to ?")
MSG(MSG_TARG_LINKS,						"These items are now linked.")
MSG(MSG_TARG_PC,						"Pick other corner:")
MSG(MSG_TARG_UNEXPECTED,				"Unexpected target info")
MSG(MSG_TARG_DYNAMIC,					"Must select a dynamic object.")
MSG(MSG_TARG_MOVED,						"Targetted item moved?")
MSG(MSG_TARG_GONE,						"Targetted item is gone?")
MSG(MSG_PROMPT_UNEXPECTED,				"Unexpected prompt info.")
MSG(MSG_TRADE_CANTMOVE,					"You cannot move items that are in trade windows.")
MSG(MSG_TRADE_SENT_GOLD,				"You traded %lu gold to %s.")
MSG(MSG_TRADE_SENT_PLAT,				"You traded %lu platinum to %s.")
MSG(MSG_TRADE_SENT_PLAT_GOLD,			"You traded %lu platinum and %lu gold to %s.")
MSG(MSG_TRADE_RECEIVED_GOLD,			"You received %lu gold from %s.")
MSG(MSG_TRADE_RECEIVED_PLAT,			"You received %lu platinum from %s.")
MSG(MSG_TRADE_RECEIVED_PLAT_GOLD,		"You received %lu platinum and %lu gold from %s.")
MSG(MSG_TRADE_REFUSE,					"%s is refusing all trades.")
MSG(MSG_TRADE_TOOFAR,					"You are too far away to trade items")
MSG(MSG_TRADE_WAIT,						"You should wait %d seconds more before accepting.")
MSG(MSG_WHERE_AREA,						"I am in %s (%s)")
MSG(MSG_WHERE_ROOM,						"I am in %s in %s (%s)")
MSG(MSG_WHERE,							"I am at %s.")
MSG(MSG_YOUNOTICE_1,					"You notice %s %s %s.")
MSG(MSG_YOUNOTICE_2,					"You notice %s %s %s%s %s")
MSG(MSG_YOUNOTICE_S,					"'s")
MSG(MSG_YOUNOTICE_YOUR,					"your")
MSG(MULTI_LOCKDOWN,						"The item has been locked down.")
MSG(MULTI_LOCKUP,						"The item has been un-locked from the structure.")
MSG(MUSICANSHIP_NOTOOL,					"You have no musical instrument available")
MSG(MUSICANSHIP_POOR,					"You play poorly.")
MSG(NON_ALIVE,							"That does not appear to be a living being.")
MSG(NPC_BANKER_DEPOSIT,					"I shall deposit %d gold in your account")
MSG(NPC_GENERIC_CRIM,					"Help! Guards a Criminal!")
MSG(NPC_GENERIC_DONTWANT,				"They don't appear to want the item")
MSG(NPC_GENERIC_GONE_1,					"Well it was nice speaking to you %s but I must go about my business")
MSG(NPC_GENERIC_GONE_2,					"Nice speaking to you %s")
MSG(NPC_GENERIC_INTERRUPT,				"Excuse me %s, but %s wants to speak to me")
MSG(NPC_GENERIC_SEECRIM,				"Help! Guards a Criminal!")
MSG(NPC_GENERIC_SEEMONS,				"Help! Guards a Monster!")
MSG(NPC_GENERIC_SNOOPED_1,				"Get thee hence, busybody!")
MSG(NPC_GENERIC_SNOOPED_2,				"What do you think your doing ?")
MSG(NPC_GENERIC_SNOOPED_3,				"Ack, away with you!")
MSG(NPC_GENERIC_SNOOPED_4,				"Beware or I'll call the guards!")
MSG(NPC_GUARD_STRIKE_1,					"Thou shalt regret thine actions, swine!")
MSG(NPC_GUARD_STRIKE_2,					"Death to all evil!")
MSG(NPC_GUARD_STRIKE_3,					"Take this vile criminal!")
MSG(NPC_GUARD_STRIKE_4,					"Evildoers shay pay!")
MSG(NPC_GUARD_STRIKE_5,					"Take this swine!")
MSG(NPC_HEALER_FAIL_1,					"I'm sorry but I cannot resurrect you")
MSG(NPC_HEALER_FAIL_2,					"Ah! My magic is failing!")
MSG(NPC_HEALER_MANIFEST,				"I can't see you clearly ghost. Manifest for me to heal thee.")
MSG(NPC_HEALER_RANGE,					"You are too far away ghost. Come closer.")
MSG(NPC_HEALER_REF_CRIM_1,				"Thou art a criminal, I shall not resurrect you.")
MSG(NPC_HEALER_REF_CRIM_2,				"Because of your lawless ways, I shall not help you.")
MSG(NPC_HEALER_REF_CRIM_3,				"It wouldn't be right to help someone like you.")
MSG(NPC_HEALER_REF_EVIL_1,				"Thou hast committed too many unholy acts to be resurrected")
MSG(NPC_HEALER_REF_EVIL_2,				"Thou hast strayed from the virtues and I shall not resurrect you.")
MSG(NPC_HEALER_REF_EVIL_3,				"Thy soul is too dark for me to resurrect.")
MSG(NPC_HEALER_REF_GOOD_1,				"You are good, why would I help you.")
MSG(NPC_HEALER_REF_GOOD_2,				"Change thy virtuous ways, and I may consider resurrecting you.")
MSG(NPC_HEALER_REF_GOOD_3,				"Muhaaahaa, You have got to be kidding, I shall not resurrect such as thee.")
MSG(NPC_HEALER_RES_1,					"Thou art dead, but 'tis within my power to resurrect thee. Live!")
MSG(NPC_HEALER_RES_2,					"Allow me to resurrect thee ghost. Thy time of true death has not yet come.")
MSG(NPC_HEALER_RES_3,					"Perhaps thou shouldst be more careful. Here, I shall resurrect thee.")
MSG(NPC_HEALER_RES_4,					"Live again, ghost! Thy time in this world is not yet done.")
MSG(NPC_HEALER_RES_5,					"I shall attempt to resurrect thee.")
MSG(NPC_PET_CANTSELL,					"I can't sell this")
MSG(NPC_PET_CARRYNOTHING,				"I'm carrying nothing.")
MSG(NPC_PET_CONFUSED,					"*looks confused*")
MSG(NPC_PET_DAYS_LEFT,					"I have been paid to work for %d more days.")
MSG(NPC_PET_DECIDE_MASTER,				"%s appears to have decided that it is better off without a master!")
MSG(NPC_PET_DESERTED,					"You sense that %s has deserted you.")
MSG(NPC_PET_EMPLOYED,					"Sorry I am already employed.")
MSG(NPC_PET_FAILURE,					"Sorry")
MSG(NPC_PET_FOOD_NO,					"No thank you.")
MSG(NPC_PET_FOOD_TY,					"Mmm. Thank you.")
MSG(NPC_PET_GETGOLD_1,					"Here is %d gold. I will keep 1 days wage on hand. To get any items say 'Inventory'")
MSG(NPC_PET_GETGOLD_2,					"I only have %d gold. That is less that a days wage. Tell me 'release' if you want me to leave.")
MSG(NPC_PET_HIRE_AMNT,					"I can be hired for %d gold per day.")
MSG(NPC_PET_HIRE_RATE,					"I require %d gold per day for hire.")
MSG(NPC_PET_HIRE_TIME,					"I will work for you for %d days")
MSG(NPC_PET_HIRE_TIMEUP,				"I'm sorry but my hire time is up.")
MSG(NPC_PET_INV_ONLY,					"You can only price things in my inventory.")
MSG(NPC_PET_ITEMS_BUY,					"This contains the items I have bought.")
MSG(NPC_PET_ITEMS_SAMPLE,				"Put sample items like you want me to purchase in here")
MSG(NPC_PET_ITEMS_SELL,					"Put items you want me to sell in here.")
MSG(NPC_PET_MONEY,						"I will keep this money in account.")
MSG(NPC_PET_NOT_ENOUGH,					"Sorry thats not enough for a days wage.")
MSG(NPC_PET_NOT_FOR_HIRE,				"Sorry I am not available for hire.")
MSG(NPC_PET_NOT_WORK,					"I will not work for you.")
MSG(NPC_PET_RENAME_PROMPT,				"Enter a new name for your pet.")
MSG(NPC_PET_RENAME_SUCCESS1,			"Pet name changed.")
MSG(NPC_PET_RENAME_SUCCESS2,			"Pet %s renamed to %s.")
MSG(NPC_PET_SELL,						"I will attempt to sell this item for you.")
MSG(NPC_PET_SETPRICE,					"What item would you like to set the price of?")
MSG(NPC_PET_SUCCESS,					"Yes Master")
MSG(NPC_PET_TARG_ATT,					"Who do you want to attack?")
MSG(NPC_PET_TARG_FOLLOW,				"Who should they follow?")
MSG(NPC_PET_TARG_FRIEND,				"Click on the player whom you wish to make a co-owner.")
MSG(NPC_PET_TARG_FRIEND_ALREADY,		"That person is already a friend.")
MSG(NPC_PET_TARG_FRIEND_SUCCESS1,		"%s will now accept movement commands from %s.")
MSG(NPC_PET_TARG_FRIEND_SUCCESS2,		"%s has granted you the ability to give orders to their pet %s. This creature will now consider you as a friend.")
MSG(NPC_PET_TARG_FRIEND_SUMMONED,		"Summoned creatures are loyal only to their summoners.")
MSG(NPC_PET_TARG_UNFRIEND,				"Click on the player whom you wish to remove as a co-owner.")
MSG(NPC_PET_TARG_UNFRIEND_NOTFRIEND,	"That person is not a friend.")
MSG(NPC_PET_TARG_UNFRIEND_SUCCESS1,		"%s will no longer accept movement commands from %s.")
MSG(NPC_PET_TARG_UNFRIEND_SUCCESS2,		"%s has no longer granted you the ability to give orders to their pet %s. This creature will no longer consider you as a friend.")
MSG(NPC_PET_TARG_GO,					"Where should they go?")
MSG(NPC_PET_TARG_GUARD,					"What should they guard?")
MSG(NPC_PET_TARG_GUARD_SUCCESS,			"%s is now guarding you.")
MSG(NPC_PET_TARG_TRANSFER,				"Click on the person to transfer ownership to.")
MSG(NPC_PET_TARG_TRANSFER_SUMMONED,		"You cannot transfer ownership of a summoned creature.")
MSG(NPC_PET_WAGE_COST,					"I will work for %d gold")
MSG(NPC_PET_WEAK,						"I'm too weak to carry that. ")
MSG(NPC_STABLEMASTER_FULL,				"I'm sorry the stables are full")
MSG(NPC_STABLEMASTER_TOOMANY,			"You have too many pets in the stables!")
MSG(NPC_STABLEMASTER_TARG,				"Which animal wouldst thou like to stable here?")
MSG(NPC_STABLEMASTER_TARG_SUCCESS,		"Your pet has been stabled.")
MSG(NPC_STABLEMASTER_TARG_FAIL,			"You can't stable that!")
MSG(NPC_STABLEMASTER_TARG_LOS,			"That is too far away.")
MSG(NPC_STABLEMASTER_TARG_OWNER,		"You do not own that pet!")
MSG(NPC_STABLEMASTER_TARG_SUMMON,		"I can not stable summoned creatures.")
MSG(NPC_STABLEMASTER_TARG_UNLOAD,		"You need to unload your pet.")
MSG(NPC_STABLEMASTER_CLAIM,				"Here you go... and good day to you!")
MSG(NPC_STABLEMASTER_CLAIM_NOPETS,		"But I have no animals stabled with me at the moment!")
MSG(NPC_STABLEMASTER_CLAIM_FOLLOWER,	"%s remained in the stables because you have too many followers.")
MSG(NPC_TRAINER_ALREADYKNOW,			"I cannot teach thee, for thou knowest all I can teach!")
MSG(NPC_TRAINER_CANTTEACH,				"'Tis not something I can teach thee of.")
MSG(NPC_TRAINER_ENEMY,					"I wouldn't presume to teach thee anything!")
MSG(NPC_TRAINER_NOTHING,				"Alas, I cannot teach thee anything.")
MSG(NPC_TRAINER_PRICE_FULL,				"I will teach thee all I know, if paid the amount in full.  The price is: %d")
MSG(NPC_TRAINER_PRICE_LESS,				"For less I shall teach thee less.")
MSG(NPC_TRAINER_SKILLCAP,				"@021 If you are near the skill cap (%d points) you may need to lose some points in another skill first.")
MSG(NPC_TRAINER_SKILLRAISE,				"@021 Make sure this skill is marked to raise.")
MSG(NPC_TRAINER_SUCCESS,				"Let me show you something of how this is done.")
MSG(NPC_TRAINER_TEACH,					"I can train the following: %s")
MSG(NPC_VENDOR_SETPRICE_1,				"Setting price of %s to %d")
MSG(NPC_VENDOR_SETPRICE_2,				"What do you want the price to be?")
MSG(NPC_VENDOR_STAT_GOLD_1,				"I have %d gold on hand. ")
MSG(NPC_VENDOR_STAT_GOLD_2,				"for which I will work for %d more days. ")
MSG(NPC_VENDOR_STAT_GOLD_3,				"I have %d items to sell.")
MSG(NPC_VENDOR_STAT_GOLD_4,				"I restock to %d gold in %d minutes.")
MSG(NPC_VENDOR_BUY,						"The total of your purchase is %d gold.  My thanks for the patronage.")
MSG(NPC_VENDOR_BUY_BANK,				"The total of your purchase is %d gold, which has been drawn from your bank account.  My thanks for the patronage.")
MSG(NPC_VENDOR_BUY_CANTAFFORD,			"Begging thy pardon, but thou canst not afford that.")
MSG(NPC_VENDOR_BUY_CANTAFFORD_BANK,		"Begging thy pardon, but thy bank account lacks these funds.")
MSG(NPC_VENDOR_BUY_CHARGE,				"I would not presume to charge thee anything.  Here are the goods you requested.")
MSG(NPC_VENDOR_ORDER_CANTFULFILL,		"Your order cannot be fulfilled, please try again.")
MSG(NPC_VENDOR_ORDER_WAIT,				"You'll have to wait a few seconds while I inspect the last order.")
MSG(NPC_VENDOR_SELL,					"Here you are, %d gold.  My thanks for the patronage.")
MSG(NPC_VENDOR_SELL_CANTAFFORD,			"I cannot afford any more at the moment")
MSG(NPC_VENDOR_SELL_LIMIT,				"You can only sell %d items at a time!")
MSG(NPC_VENDOR_SELL_NOTHING,			"You have nothing I would be interested in.")
MSG(NPC_VENDOR_TOOFAR,					"That is too far away.")
MSG(PARTY_ADDED,						"You have been added to the party.")
MSG(PARTY_ALREADY_OTHER,				"This person is already in a party!")
MSG(PARTY_ALREADY_YOUR,					"This person is already in your party!")
MSG(PARTY_DECLINE,						"%s: Does not wish to join the party.")
MSG(PARTY_DECLINE_NOTIFY,				"You notify them that you do not wish to join the party.")
MSG(PARTY_DISBANDED,					"Your party has disbanded.")
MSG(PARTY_INVITED_PROMPT,				"%s: You are invited to join the party. Type /accept to join or /decline to decline the offer.")
MSG(PARTY_JOINED,						"%s: joined the party.")
MSG(PARTY_LAST_PERSON_LEFT,				"The last person has left the party...")
MSG(PARTY_LOOT_ALLOW,					"You have chosen to allow your party to loot your corpse.")
MSG(PARTY_LOOT_PREVENT,					"You have chosen to prevent your party from looting your corpse.")
MSG(PARTY_NOTINPARTY,					"You are not in a party.")
MSG(PARTY_REMOVED,						"You have been removed from the party.")
MSG(PARTY_TARG_ADD,						"Who would you like to add to your party?")
MSG(PARTY_TARG_ADD_FULL,				"You may only have 10 in your party.")
MSG(PARTY_TARG_ADD_ITEM,				"You may only add living things to your party!")
MSG(PARTY_TARG_ADD_NPC,					"The creature ignores your offer.")
MSG(PARTY_TARG_ADD_PERMISSION,			"You do not have permission to invite members to the party.")
MSG(PARTY_TARG_ADD_SELF,				"You cannot add yourself to a party.")
MSG(PARTY_TARG_ADD_SUCCESS,				"You have invited them to join the party.")
MSG(PARTY_TARG_ADD_WAIT,				"You must wait a bit before inviting someone else!")
MSG(PARTY_TARG_REMOVE,					"Who would you like to remove from your party?")
MSG(PARTY_TARG_REMOVE_SUCCESS,			"%s has been removed from your party.")
MSG(POISONING_SELECT_1,					"What poison do you want to use?")
MSG(POISONING_SUCCESS,					"You apply the poison.")
MSG(POISONING_WITEM,					"You can only poison food or piercing weapons.")
MSG(PROVOCATION_EMOTE_1,				"looks peaceful")
MSG(PROVOCATION_EMOTE_2,				"looks furious")
MSG(PROVOCATION_PLAYER,					"You can not provoke players!")
MSG(PROVOCATION_UPSET,					"You are really upset about this")
MSG(PROVOKE_SELECT,						"Who do you want to provoke them against?")
MSG(PROVOKE_UNABLE,						"You can only provoke living creatures.")
MSG(REACH_FAIL,							"You can't reach that.")
MSG(REACH_GHOST,						"Your ghostly hand passes through the object.")
MSG(REACH_UNABLE,						"You can't use this where it is.")
MSG(REMOVETRAPS_REACH,					"You can't reach it.")
MSG(REMOVETRAPS_WITEM,					"You should use this skill to disable traps")
MSG(REPAIR_ANVIL,						"You must be near an anvil")
MSG(REPAIR_BACKPACK,					"The item must be in your backpack to repair it.")
MSG(REPAIR_BREAK,						"That item has been repaired many times, and will break if repairs are attempted again.")
MSG(REPAIR_FAIL,						"You fail to repair the item.")
MSG(REPAIR_FULL,						"That item is in full repair")
MSG(REPAIR_LACK_1,						"You lack %s to repair this.")
MSG(REPAIR_LACK_2,						"components")
MSG(REPAIR_NOT,							"That item cannot be repaired.")
MSG(REPAIR_SUCCESS,						"You repair the item.")
MSG(RESISTMAGIC,						"You feel yourself resisting magical energy.")
MSG(SERVER_RESYNC_FAILED,				"Resync FAILED!")
MSG(SERVER_RESYNC_START,				"Server is being PAUSED for Resync")
MSG(SERVER_RESYNC_SUCCESS,				"Resync complete!")
MSG(SERVER_RESYNC_RESTART,				"Resync Restart")
MSG(SERVER_WORLDSAVE_NOTIFY,			"World save in 10 seconds")
MSG(SERVER_WORLDSAVE,					"World save has been initiated.")
MSG(SERVER_WORLDSTATICSAVE,				"World statics save has been initiated.")
MSG(SKILL_NOSKILL,						"Skill not implemented!")
MSG(SKILLWAIT_1,						"You can't do much in your current state.")
MSG(SKILLWAIT_2,						"You are preoccupied with thoughts of battle.")
MSG(SKILLWAIT_3,						"You must wait to perform another action.")
MSG(SMELT_FAIL,							"You burn away the impurities but are left with less useable metal.")
MSG(SMELT_CANT,							"You can't melt that down into ingots.")
MSG(SMELT_ITEM_SUCCESS,					"You melt the item down into ingots.")
MSG(SMELT_NOANVIL,						"You must be near an anvil.")
MSG(SMELT_NOFORGE,						"You must be near a forge.")
MSG(SMELT_NOSKILL,						"You have no idea how to smelt this strange ore!")
MSG(SMELT_SUCCESS,						"You smelt the ore removing the impurities and put the metal in your backpack.")
MSG(SMITHING_FAIL,						"You need ingots for smithing.")
MSG(SMITHING_FORGE,						"You must be near a forge to smith ingots")
MSG(SMITHING_HAMMER,					"You must weild a smith hammer of some sort.")
MSG(SMITHING_REACH,						"The ingots must be on your person")
MSG(SNOOPING_ATTEMPTING,				"attempting to peek into")
MSG(SNOOPING_CANT,						"You can not peek into the container.")
MSG(SNOOPING_FAILED,					"You failed to peek into the container.")
MSG(SNOOPING_REACH,						"That is too far away.")
MSG(SPELL_ALCOHOL_HIC,					"*Hic*")
MSG(SPELL_ANIMDEAD_FAIL,				"The corpse stirs for a moment then falls!")
MSG(SPELL_ANIMDEAD_NC,					"That is not a corpse!")
MSG(SPELL_CREATE_FOOD,					"You magically create food in your backpack: %s")
MSG(SPELL_DISPELLF_WT,					"That is not a field!")
MSG(SPELL_ENCHANT_ACTIVATE,				"Magic items must be on your person to activate.")
MSG(SPELL_ENCHANT_LACK,					"This item lacks any enchantment.")
MSG(SPELL_GATE_ALREADYTHERE,			"There is already a gate there.")
MSG(SPELL_GATE_AM,						"An anti-magic field blocks the gate.")
MSG(SPELL_GATE_OPEN,					"You open a magical gate to another location.")
MSG(SPELL_GATE_SOMETHINGBLOCKING,		"Something is blocking the location.")
MSG(SPELL_GEN_FIZZLES,					"The spell fizzles")
MSG(SPELL_LOOKS,						"looks %s")
MSG(SPELL_POISON_1,						"sickly")
MSG(SPELL_POISON_2,						"very ill")
MSG(SPELL_POISON_3,						"extremely sick")
MSG(SPELL_POISON_4,						"deathly sick")
MSG(SPELL_OSIPOISON_LESSER,				"feel a bit nauseous")
MSG(SPELL_OSIPOISON_STANDARD,			"feel disorientated and nauseous!")
MSG(SPELL_OSIPOISON_GREATER,			"begin to feel pain throughout your body!")
MSG(SPELL_OSIPOISON_DEADLY,				"feel extremely weak and are in severe pain!")
MSG(SPELL_OSIPOISON_LETHAL,				"are in extreme pain, and require immediate aid!")
MSG(SPELL_OSIPOISON_LESSER1,			"looks ill.")
MSG(SPELL_OSIPOISON_STANDARD1,			"looks extremely ill.")
MSG(SPELL_OSIPOISON_GREATER1,			"stumbles around in confusion and pain.")
MSG(SPELL_OSIPOISON_DEADLY1,			"is wracked with extreme pain.")
MSG(SPELL_OSIPOISON_LETHAL1,			"begins to spasm uncontrollably.")
MSG(SPELL_RECALL_CANTRECALLOBJ,			"I can not recall from that object.")
MSG(SPELL_RECALL_NOCHARGES,				"There are no charges left on that item.")
MSG(SPELL_RECALL_RUNENOTMARKED,			"That rune is not yet marked.")
MSG(SPELL_MARK_CANTMARKOBJ,				"I cannot mark that object.")
MSG(SPELL_MARK_CONT,					"You must have this rune in your backpack in order to mark it.")
MSG(SPELL_RES_AM,						"Anti-Magic blocks the Resurrection!")
MSG(SPELL_RES_REJOIN,					"Your spirit rejoins your body.")
MSG(SPELL_RES_ROBENAME,					"Resurrection Robe")
MSG(SPELL_TARG_CONT,					"Can't cast a spell on this where it is")
MSG(SPELL_TARG_FIELDC,					"Can't target fields directly on a character.")
MSG(SPELL_TARG_LOS,						"Target is not in line of sight")
MSG(SPELL_TARG_OBJ,						"This spell needs a target object")
MSG(SPELL_TELE_AM,						"An anti-magic field blocks you")
MSG(SPELL_TELE_CANT,					"You can't teleport to that spot.")
MSG(SPELL_TELE_JAILED_1,				"You feel the world is punishing you.")
MSG(SPELL_TELE_JAILED_2,				"You feel you should be ashamed of your actions.")
MSG(SPELL_TRY_AM,						"An anti-magic field disturbs the spell.")
MSG(SPELL_TRY_DEAD,						"This is beyond your ability.")
MSG(SPELL_TRY_FROZENHANDS,				"You cannot cast spells while your hands are frozen.")
MSG(SPELL_TRY_NOBOOK,					"You don't have a spellbook handy.")
MSG(SPELL_TRY_NOMANA,					"You lack sufficient mana for this spell")
MSG(SPELL_TRY_NOTITHING,				"You must have at least %d Tithing Points to use this ability")
MSG(SPELL_TRY_NOREGS,					"You lack %s for this spell")
MSG(SPELL_TRY_NOTYOURBOOK,				"The spell is not in your spellbook.")
MSG(SPELL_TRY_THEREG,					"reagents")
MSG(SPELL_WAND_NOCHARGE,				"It seems to be out of charges")
MSG(SPELL_YOUFEEL,						"You feel %s")
MSG(SPIRITSPEAK_SUCCESS,				"You establish a connection to the netherworld.")
MSG(STEALING_CORPSE,					"You can't steal from corpses")
MSG(STEALING_EMPTY,						"They have nothing to steal")
MSG(STEALING_GAMEBOARD,					"You can't steal from game boards")
MSG(STEALING_HEAVY,						"That is too heavy.")
MSG(STEALING_MARK,						"Your mark is too far away.")
MSG(STEALING_NONEED,					"No need to steal this")
MSG(STEALING_NOTHING,					"Nothing to steal here.")
MSG(STEALING_PICKPOCKET,				"Just dclick this to practice stealing")
MSG(STEALING_REACH,						"You can't reach it.")
MSG(STEALING_SAFE,						"Can't harm other players here.")
MSG(STEALING_SOMEONE,					"stealing")
MSG(STEALING_STOP,						"No stealing is possible here.")
MSG(STEALING_TRADE,						"You can't steal from trade windows")
MSG(STEALING_YOUR,						"attempting to steal")
MSG(TAMING_1,							"I won't hurt you.")
MSG(TAMING_2,							"I always wanted a %s like you")
MSG(TAMING_3,							"Good %s")
MSG(TAMING_4,							"Here %s")
MSG(TAMING_CANT,						"You can't tame them.")
MSG(TAMING_LOS,							"You can not see the creature.")
MSG(TAMING_REACH,						"You are too far away.")
MSG(TAMING_REMEMBER,					"The %s remembers you and accepts you once more as it's master.")
MSG(TAMING_SUCCESS,						"It seems to accept you as master")
MSG(TAMING_TAME,						"%s is already tame.")
MSG(TAMING_TAMED,						"%s cannot be tamed.")
MSG(TAMING_YMASTER,						"You are your own master.")
MSG(TARGET_PROMT,						"What do you want to use this on?")
MSG(TARGET_COMMAND,						"Select object to set/command '%s'.")
MSG(MENU_UNEXPECTED,					"Unexpected menu info.")
MSG(TASTEID_CHAR,						"Try tasting some item.")
MSG(TASTEID_RESULT,						"It tastes like %s.")
MSG(TASTEID_SELF,						"Yummy!")
MSG(TASTEID_UNABLE,						"You can't use this.")
MSG(TRACKING_SKILLMENU_TITLE,			"Tracking")
MSG(TRACKING_SKILLMENU_ANIMALS,			"Animals")
MSG(TRACKING_SKILLMENU_MONSTERS,		"Monsters")
MSG(TRACKING_SKILLMENU_NPCS,			"NPCs")
MSG(TRACKING_SKILLMENU_PLAYERS,			"Players")
MSG(TRACKING_FAIL_ANIMAL,				"You see no evidence of animals in the area.")
MSG(TRACKING_FAIL_MONSTER,				"You see no evidence of creatures in the area.")
MSG(TRACKING_FAIL_PEOPLE,				"You see no evidence of people in the area.")
MSG(TRACKING_RESULT_0,					"%s is %s")
MSG(TRACKING_RESULT_1,					"%s is near to the %s")
